Rank_2004,EN_country,ISO
1,Denmark,DNK
2,Finland,FIN
3,Ireland,IRL
4,Iceland,ISL
5,Norway,NOR
6,Netherlands,NLD
7,Slovakia,SVK
8,Switzerland,CHE
9,New Zealand,NZL
10,Latvia,LVA
11,Trinidad and Tobago,TTO
12,Germany,DEU
13,Estonia,EST
14,Sweden,SWE
15,Slovenia,SVN
16,Lithuania,LTU
17,Austria,AUT
18,Canada,CAN
19,France,FRA
20,Czech Republic,CZE
21,Bosnia and Herzegovina,BIH
22,United States (US territory),USA2
23,Belgium,BEL
24,Jamaica,JAM
25,Portugal,PRT
26,South Africa,ZAF
27,Benin,BEN
28,El Salvador,SLV
29,Hungary,HUN
30,United Kingdom,GBR
31,Dominican Republic,DOM
32,Poland,POL
33,Greece,GRC
34,Hong Kong,HKG
35,Costa Rica,CRI
36,Israel (Israeli territory),ISR1
37,Bulgaria,BGR
38,Cape Verde,CPV
39,Spain,ESP
40,Italy,ITA
41,Australia,AUS
42,Namibia,NAM
43,Chile,CHL
44,Uruguay,URY
45,Japan,JPN
46,Mauritius,MUS
47,Paraguay,PRY
48,South Korea,KOR
49,North Macedonia,MKD
50,Botswana,BWA
51,Albania,ALB
52,Nicaragua,NIC
53,Honduras,HND
54,Croatia,HRV
55,Grenada,GRD
56,Mali,MLI
57,Ghana,GHA
58,East Timor,TLS
59,Thailand,THA
60,Taiwan,TWN
61,Tanzania,TZA
62,Panama,PAN
63,Fiji,FJI
64,Burkina Faso,BFA
65,Mozambique,MOZ
66,Brazil,BRA
67,Ecuador,ECU
68,Guatemala,GTM
69,Congo,COG
70,Romania,ROU
71,Niger,NER
72,Madagascar,MDG
73,Burundi,BDI
74,Mongolia,MNG
75,Togo,TGO
76,Bolivia,BOL
77,Serbia-Montenegro,SCG
78,Moldova,MDA
79,Argentina,ARG
80,Senegal,SEN
81,Cyprus North,CTU
82,Kenya,KEN
83,Armenia,ARM
84,Guinea-Bissau,GNB
85,Seychelles,SYC
86,Uganda,UGA
87,Lebanon,LBN
88,Guinea,GIN
89,Sierra Leone,SLE
90,Venezuela,VEN
91,Angola,AGO
92,Comoros,COM
93,Cameroon,CMR
94,Georgia,GEO
95,Tajikistan,TJK
96,Mexico,MEX
97,Afghanistan,AFG
98,Gambia,GMB
99,Lesotho,LSO
100,Zambia,ZMB
101,Malawi,MWI
102,Eswatini,SWZ
103,Kuwait,KWT
104,Qatar,QAT
105,Central African Republic,CAF
106,Chad,TCD
107,Kyrgyzstan,KGZ
108,United States (in Irak),USA_I
109,Cambodia,KHM
110,Sri Lanka,LKA
111,Philippines,PHL
112,Ethiopia,ETH
113,Turkey,TUR
114,Rwanda,RWA
115,Israel (occupied territories),ISR3
116,Gabon,GAB
117,Nigeria,NGA
118,Indonesia,IDN
119,Tonga,TON
120,India,IND
121,Jordan,JOR
122,Malaysia,MYS
123,Liberia,LBR
124,Peru,PER
125,Haiti,HTI
126,Morocco,MAR
127,Palestine,PSE
128,Algeria,DZA
129,Egypt,EGY
130,Somalia,SOM
131,Kazakhstan,KAZ
132,Sudan,SDN
133,Equatorial Guinea,GNQ
134,Colombia,COL
135,Yemen,YEM
136,Azerbaijan,AZE
137,United Arab Emirates,ARE
138,Ukraine,UKR
139,Mauritania,MRT
140,Russian Federation,RUS
141,The Democratic Republic Of The Congo,COD
142,Uzbekistan,UZB
143,Bahrain,BHR
144,Belarus,BLR
145,Djibouti,DJI
146,Bhutan,BTN
147,Singapore,SGP
148,Iraq,IRQ
149,Ivory Coast,CIV
150,Pakistan,PAK
151,Bangladesh,BGD
152,Tunisia,TUN
153,Lao People's Democratic Republic,LAO
154,Libya,LBY
155,Syrian Arab Republic,SYR
156,Zimbabwe,ZWE
157,Maldives,MDV
158,Islamic Republic of Iran,IRN
159,Saudi Arabia,SAU
160,Nepal,NPL
161,Vietnam,VNM
162,China,CHN
163,Eritrea,ERI
164,Turkmenistan,TKM
165,Myanmar,MMR
166,Cuba,CUB
167,Democratic People's Republic of Korea,PRK
